# DMC2_PROBE_RECORDING 1
# units=mm,mm/s; frame=LinuxCNC machine XYZ (trivkins joint.N.pos-fb); input=Mesa IN1 rising edge
# position_source=LinuxCNC reported stepgen feedback; radius_and_tool_offsets=NOT_APPLIED; X_positive=physical LEFT / LinuxCNC +X; X_negative=physical RIGHT / LinuxCNC -X
# unix_time_at_first_read=1789234105.5988657; first_servo_seconds=1382.014; wall_clock_is_reader_anchor_not_hardware_timestamp=true
# servo_seconds=sum_of_nominal_servo_periods; feedback_velocity=consecutive_position_difference/nominal_period; input_and_position_are_servo_samples_not_a_hardware_trigger_latch
# frames=164030; touches_observed=10; missing_samples_minimum=0; incomplete=false
# flags: mode=1 record=2 contact=4 touch=8 deadman=16 enabled=32 manual=64 teleop=128 coord=256 idle=512 transport_bad=1024 controller_fault=2048 homing=4096 selected=8192 gap=16384 feedback_velocity_valid=32768 pendant=65536 all_homed=131072
contact_id,event,servo_seconds,cycle,period_ns,flags,homed_mask,controller_phase,pendant_axis,pendant_multiplier,pendant_detents,x_mm,y_mm,z_mm,command_x_mm,command_y_mm,command_z_mm,command_vx_mm_s,command_vy_mm_s,command_vz_mm_s,feedback_vx_mm_s,feedback_vy_mm_s,feedback_vz_mm_s,position_valid,command_direction,feedback_direction
1,touch,1389.046,1389046,1000000,238335,7,0,1,10,-1841,293.5260253753662,166.83914044189453,33.2914914855957,293.5260254120433,166.83644322239067,33.29149150286415,0,-2.1730610221908364,0,0,-2.180282592775029,0,true,Y-,Y-
2,touch,1390.041,1390041,1000000,238335,7,0,1,10,-1840,293.5260253753662,166.84785314941405,33.2914914855957,293.5260254120433,166.84725162858925,33.29149150286415,0,-0.6050379043358589,0,0,-0.6772155761893828,0,true,Y-,Y-
3,touch,1393.198,1393198,1000000,238335,7,0,1,1,-1849,293.5260253753662,166.84791928100586,33.2914914855957,293.5260254120433,166.84763076735354,33.29149150286415,0,-0.28692398983309886,0,0,-0.35514831543537184,0,true,Y-,Y-
4,touch,1395.603,1395603,1000000,238335,7,0,1,1,-1849,293.5260253753662,166.84896670532225,33.2914914855957,293.5260254120433,166.84863735211505,33.29149150286415,0,-0.33317534114019054,0,0,-0.40156555175485664,0,true,Y-,Y-
5,touch,1425.357,1425357,1000000,238335,7,0,2,1,-2018,293.5260253753662,163.89231967163084,35.139498672485345,293.5260254120433,163.8923196985052,35.139126178026395,0,0,-0.3798867185125232,0,0,-0.45236206055676575,true,Z-,Z-
6,touch,1427.173,1427173,1000000,238335,7,0,2,1,-2019,293.5260253753662,163.89231967163084,35.141495162963864,293.5260254120433,163.8923196985052,35.1408237761663,0,0,-0.6126779008823746,0,0,-0.7079162597705135,true,Z-,Z-
7,touch,1428.188,1428188,1000000,238335,7,0,2,1,-2019,293.5260253753662,163.89231967163084,35.14223954772949,293.5260254120433,163.8923196985052,35.141861786175234,0,0,-0.3798866558959446,0,0,-0.4582824707028976,true,Z-,Z-
8,touch,1442.101,1442101,1000000,238335,7,0,2,10,-2434,299.994025390625,163.89231967163084,34.97052622985839,299.99402541200226,163.8923196985052,34.9686589019065,0,0,-1.8767265826440394,0,0,-1.9489898681683826,true,Z-,Z-
9,touch,1459.039,1459039,1000000,238335,7,0,2,1,-2765,299.994025390625,159.32731967163085,35.14437435913085,299.99402541200226,159.32731970535124,35.14357699827297,0,0,-0.6422137320925003,0,0,-0.5648956298927033,true,Z-,Z-
10,touch,1463.117,1463117,1000000,238335,7,0,2,1,-2752,299.994025390625,159.32731967163085,35.14340254211426,299.99402541200226,159.32731970535124,35.142972275877646,0,0,-0.4269602376183457,0,0,-0.5124816894550577,true,Z-,Z-
